                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.86768,                 3.1833,                 1.2216,                0.01246,                      1,                0.46657,                0.37802,                0.61272,                 2.9559,                0.95077,                 0.0865,                 0.0015,                 0.0015
                      1,                0.64755,                 1.7092,                 0.9645,                0.71403,                0.65048,                0.85005,                0.73887,                0.53662,                 2.2038,                0.88725,               0.072023,              0.0030233,              0.0030233
                      2,                0.63597,                 1.0253,                0.90732,                0.92686,                0.59561,                0.99492,                 0.8533,                0.58109,                 1.7238,                0.90472,               0.057467,              0.0044673,              0.0044673
                      3,                 0.6428,                0.77278,                0.89454,                0.90946,                0.96433,                0.99458,                0.82802,                0.68587,                 1.3047,                0.95882,               0.042832,              0.0058322,              0.0058322
                      4,                0.65931,                0.71104,                 0.9096,                0.92429,                0.84433,                0.99384,                0.84427,                0.63649,                  1.686,                0.93622,               0.028118,              0.0071179,              0.0071179
                      5,                0.68593,                0.70866,                0.91986,                 0.9978,                0.99988,                  0.995,                0.80888,                0.70811,                 1.0928,                0.94839,               0.013324,              0.0083244,              0.0083244
                      6,                0.70599,                0.69966,                0.92001,                0.99659,                      1,                  0.995,                0.81586,                0.71419,                0.76734,                0.93819,               0.008515,               0.008515,               0.008515
                      7,                0.65655,                0.65731,                 0.9065,                0.99496,                      1,                  0.995,                0.83368,                 0.6214,                0.76796,                0.90826,               0.008515,               0.008515,               0.008515
                      8,                 0.6408,                0.69392,                0.91377,                0.99725,                      1,                  0.995,                0.85355,                0.58424,                0.65025,                0.89845,              0.0082675,              0.0082675,              0.0082675
                      9,                 0.6088,                0.64345,                0.93107,                0.99907,                      1,                  0.995,                0.84864,                0.57906,                0.54156,                0.88969,                0.00802,                0.00802,                0.00802
                     10,                0.59133,                0.61804,                0.91207,                0.99879,                      1,                  0.995,                0.85457,                0.57783,                0.54779,                0.88998,              0.0077725,              0.0077725,              0.0077725
                     11,                0.58213,                0.59165,                0.91549,                0.99864,                      1,                  0.995,                0.85079,                0.57622,                0.53787,                0.89031,               0.007525,               0.007525,               0.007525
                     12,                0.56558,                0.57527,                0.90279,                0.99918,                      1,                  0.995,                0.87427,                0.53347,                0.47958,                0.87734,              0.0072775,              0.0072775,              0.0072775
                     13,                0.56744,                0.56235,                0.91745,                0.99907,                      1,                  0.995,                0.85692,                0.56118,                0.48595,                 0.9113,                0.00703,                0.00703,                0.00703
                     14,                0.55473,                0.54214,                0.91006,                0.99878,                      1,                  0.995,                0.86398,                0.56198,                 0.4797,                0.89582,              0.0067825,              0.0067825,              0.0067825
                     15,                0.55203,                0.51905,                0.89936,                0.99903,                      1,                  0.995,                0.86637,                0.55264,                 0.4452,                0.88272,               0.006535,               0.006535,               0.006535
                     16,                0.53985,                0.51318,                0.89254,                0.99916,                      1,                  0.995,                 0.8766,                0.51001,                0.41179,                0.87314,              0.0062875,              0.0062875,              0.0062875
                     17,                0.53196,                 0.4889,                0.90003,                0.99929,                      1,                  0.995,                0.88849,                0.49759,                0.41288,                0.86126,                0.00604,                0.00604,                0.00604
                     18,                0.52988,                0.49359,                0.89235,                0.99909,                      1,                  0.995,                0.87914,                0.49037,                0.39363,                 0.8675,              0.0057925,              0.0057925,              0.0057925
                     19,                 0.5006,                0.47788,                0.87909,                0.99903,                      1,                  0.995,                0.87467,                0.50845,                 0.3979,                0.86539,               0.005545,               0.005545,               0.005545
                     20,                0.48283,                0.46308,                0.88963,                0.99866,                      1,                  0.995,                0.89408,                0.46389,                0.39434,                0.85016,              0.0052975,              0.0052975,              0.0052975
                     21,                 0.4863,                 0.4614,                0.88302,                0.99921,                      1,                  0.995,                0.88615,                0.49661,                0.35775,                0.85644,                0.00505,                0.00505,                0.00505
                     22,                0.49236,                0.45223,                0.89021,                0.99925,                      1,                  0.995,                0.87258,                0.52123,                0.36331,                 0.8656,              0.0048025,              0.0048025,              0.0048025
                     23,                0.46987,                0.42961,                 0.8782,                0.99942,                      1,                  0.995,                0.88961,                0.46866,                0.36155,                0.84587,               0.004555,               0.004555,               0.004555
                     24,                0.45978,                0.42778,                 0.8731,                0.99904,                      1,                  0.995,                0.88971,                0.46436,                0.32474,                0.85015,              0.0043075,              0.0043075,              0.0043075
                     25,                0.45619,                0.41472,                0.87436,                0.99922,                      1,                  0.995,                0.90797,                0.42351,                0.32259,                0.83649,                0.00406,                0.00406,                0.00406
                     26,                0.46068,                0.40722,                0.88361,                0.99931,                      1,                  0.995,                0.89573,                 0.4544,                 0.3202,                0.84574,              0.0038125,              0.0038125,              0.0038125
                     27,                0.45299,                0.40405,                0.87446,                0.99923,                      1,                  0.995,                0.89136,                0.46258,                0.31593,                0.84883,               0.003565,               0.003565,               0.003565
                     28,                0.44794,                0.39768,                0.86777,                0.99911,                      1,                  0.995,                0.89284,                0.45969,                0.32019,                0.84285,              0.0033175,              0.0033175,              0.0033175
                     29,                0.43135,                 0.3894,                0.87311,                0.99928,                      1,                  0.995,                0.89103,                0.45747,                0.32021,                 0.8459,                0.00307,                0.00307,                0.00307
                     30,                0.38408,                0.42377,                0.82672,                0.99118,                0.99141,                  0.995,                0.89366,                0.46989,                0.45406,                0.85053,              0.0028225,              0.0028225,              0.0028225
                     31,                0.38316,                0.40251,                0.82078,                0.99926,                      1,                  0.995,                0.89491,                0.45118,                0.34861,                0.84305,               0.002575,               0.002575,               0.002575
                     32,                0.37277,                  0.386,                0.83036,                0.99917,                      1,                  0.995,                0.89541,                0.48433,                0.33558,                0.85071,              0.0023275,              0.0023275,              0.0023275
                     33,                0.38886,                0.38531,                0.82695,                0.99937,                      1,                  0.995,                0.90765,                0.42822,                 0.3006,                0.83772,                0.00208,                0.00208,                0.00208
                     34,                0.36149,                0.36174,                0.82049,                0.99952,                      1,                  0.995,                0.90152,                0.43954,                  0.282,                0.84438,              0.0018325,              0.0018325,              0.0018325
                     35,                0.36226,                0.35439,                 0.8206,                0.99953,                      1,                  0.995,                0.89586,                0.45332,                0.27464,                0.84816,               0.001585,               0.001585,               0.001585
                     36,                0.36394,                0.34704,                0.82557,                0.99954,                      1,                  0.995,                0.90507,                0.43764,                0.27471,                0.83959,              0.0013375,              0.0013375,              0.0013375
                     37,                0.34895,                0.34292,                0.81469,                 0.9995,                      1,                  0.995,                0.91112,                0.41064,                0.26875,                 0.8302,                0.00109,                0.00109,                0.00109
                     38,                0.33994,                0.33388,                0.81817,                0.99941,                      1,                  0.995,                0.90488,                0.42805,                0.26475,                0.83703,              0.0008425,              0.0008425,              0.0008425
                     39,                0.34313,                0.33369,                0.80454,                0.99948,                      1,                  0.995,                0.91369,                0.42262,                0.26169,                0.83468,               0.000595,               0.000595,               0.000595
